"sort_id","cat","name","emoji","unit_kind","g_per_1ke","portion_name","portion_count","portion_amount","portion_ke","portion_carbs_g","info",
2585,"Schokolade","Lila Pause","🍫","g","18,0","Riegel",1,38,"2,11","21,11","1 KE = 18 g; Portion: 1 Riegel à 38 g = 2.1 KE",
2596,"Schokolade","Mars","🍫","g","14,0","Riegel",1,45,"3,21","32,14","1 KE = 14 g; Portion: 1 Riegel à 45 g = 3.2 KE",
2607,"Schokolade","Milchschnitte","🍫","g","28,0","Stück",1,"","",0,"1 KE = 28 g; Portion: 1 Stück = 1 KE",
2618,"Schokolade","Milky Way","🍫","g","14,0","Riegel",1,"21,5","1,54","15,36","1 KE = 14 g; Portion: 1 Riegel à 21,5 g = 1.5 KE",
2629,"Schokolade","M&Ms","🍫","g","15,0","Päckchen",1,45,3,30,"1 KE = 15 g; Portion: 1 Päckchen à  45 g = 3 KE - 1 Packung  à 165 g = 11 KE",
2640,"Schokolade","Mon Cheri","🍫","g","18,0","Stück",1,"10,5","0,58","5,83","1 KE = 18 g; Portion: 1 Stück à 10,5 g = 0.6 KE",
2651,"Schokolade","Rafaello","🍫","g","25,0","Stück",1,10,"0,4",4,"1 KE = 25 g; Portion: 1 Stück à 10 g = 0.4 KE",
2662,"Schokolade","Schokobons","🍫","g","20,0","Stück",3,18,"0,9",9,"1 KE = 20 g; Portion: 3 Stück à 6 g = 1 KE",
2673,"Schokolade","Schokokuss","🍫","g","15,0","Stück",1,25,"1,67","16,67","1 KE = 15 g; Portion: 1 Stück à 25 g = 1.7 KE",
2684,"Schokolade","Schokolade Vollmilch","🍫","g","20,0","",1,100,5,50,"1 KE = 20 g; Portion: 100 g = 5 KE",
2695,"Schokolade","Schokolade mit Maltit ca. 50 g","🍫","g","50,0","",1,"","",0,"10 g /Tag ohne Berechnung",
2706,"Schokolade","Smarties","🍫","g","14,0","Stück",12,168,12,120,"12 große Smarties oder 1 Packung kleine Smarties",
2717,"Schokolade","Snickers","🍫","g","16,0","Riegel",1,50,"3,13","31,25","1 Riegel à 50 g  = 3 KE",
2728,"Schokolade","Toffifee","🍫","g","16,0","Stück",2,16,1,10,"2 Stück à 8 g",
2739,"Schokolade","Überraschungsei","🍫","g","18,0","Stück",1,20,"1,11","11,11","1 Stück à 20 g  = 1.1 KE",
2750,"Dessert","Actimel","🍽️","g","90,0","Becher","","","",0,"1 Becher à 100 ml = 1.1 KE",
2761,"Dessert","Fruchtjoghurt","🍽️","g","75,0","","","","",0,"Portion: 150 g = 2 KE",
2772,"Dessert","Fruchtzwerge classic","🍽️","g","85,0","Becher","","","",0,"1 Becher à 50 g  = 0.6 KE",
2783,"Dessert","Griesbrei nach klassischer Art","🍽️","g","60,0","",1,200,"3,33","33,33","1 Portion ca 200 g  = 3.3 KE",
2794,"Dessert","Monte Schoko (Zott)","🍫","g","63,0","Becher","","","",0,"1 Becher à 55 g  = 0.9 KE",
2805,"Dessert","Mousse au Chocolat","🍽️","g","50,0","","","","",0,"Portion: 100 g = ca. 2 KE",
2816,"Dessert","Pudding","🍽️","g","60,0","","","","",0,"Portion: 150 g = 2.5 KE",
2827,"Dessert","Rote Grütze","🍽️","g","45,0","","","","",0,"Portion: 125 g = 3 KE",
2838,"Dessert","Vanillesoße","🍽️","g","60,0","","","","",0,"1 KE = 60 ml",
2849,"Kuchen","Apfelstrudel","🍽️","g","37,5","","","","",0,"Stück/Portion: 4 KE",
2860,"Kuchen","Apfeltasche","🍽️","g","33,3","","","","",0,"Stück/Portion: 3 KE",
2871,"Kuchen","Baklava","🍽️","g","25,0","","","","",0,"Stück/Portion: 1 KE",
2882,"Kuchen","Berliner","🍽️","g","24,0","","","","",0,"Stück/Portion: 2,5 KE",
2893,"Kuchen","Bienenstich","🍽️","g","30,0","","","","",0,"Stück/Portion: 2,5 KE",
2904,"Kuchen","Biskuitrolle mit Erdbeersahne","🍽️","g","40,0","","","","",0,"Stück/Portion: 1,5 KE",
2915,"Kuchen","Buttercremetorte z. B. Sacher","🍽️","g","30,0","","","","",0,"Stück/Portion 4 KE",
2926,"Kuchen","Christstollen","🍽️","g","20,0","","","","",0,"Stück/Portion: 2,5 KE",
2937,"Kuchen","Crêpe/Pfannkuchen ohne Füllung","🍽️","g","50,0","","","","",0,"Stück/Portion: 2 KE",
2948,"Kuchen","Crêpe mit Banane und Nutella","🍌","g","40,0","","","","",0,"Portion: 5 KE -  ½ Banane + 2 Teelöffel Nutella",
2959,"Kuchen","Dampfnudel 2 Stück ca.","🍽️","g","27,0","","","","",0,"Stück/Portion: 3,7 KE",
2970,"Kuchen","Donauwelle","🍽️","g","28,6","","","","",0,"Stück/Portion: 4,2 KE",
2981,"Kuchen","Donut","🍽️","g","20,8","","","","",0,"Stück/Portion: 2,4 KE",
2992,"Kuchen","Hefezopf mit Rosinen","🍽️","g","20,0","","","","",0,"Stück/Portion: 3,5 KE",
3003,"Kuchen","Käsekuchen","🍽️","g","33,3","","","","",0,"Stück/Portion: 3 KE",
3014,"Kuchen","Marmorkuchen","🍽️","g","23,3","","","","",0,"Stück/Portion: 3 KE",
3025,"Kuchen","Nussecke","🍽️","g","20,0","","","","",0,"Stück/Portion: 5 KE",
3036,"Kuchen","Nusskuchen","🍽️","g","28,0","","","","",0,"Stück/Portion: 2,5 KE",
3047,"Kuchen","Obstkuchen aus Hefeteig","🍽️","g","35,7","","","","",0,"Stück/Portion: 2,8 KE",
3058,"Kuchen","Obstkuchen aus Rührteig","🍽️","g","33,3","","","","",0,"Stück/Portion: 3 KE",
3069,"Kuchen","Obstkuchen aus Mürbteig","🍽️","g","28,6","","","","",0,"Stück/Portion: 3,5 KE",
3080,"Kuchen","Obstkuchen aus Biskuitteig","🍽️","g","25,0","","","","",0,"Stück/Portion: 4 KE",
3091,"Kuchen","Schokomuffin","🍽️","g","28,6","","","","",0,"Stück/Portion: 3,5 KE",
3102,"Kuchen","Schwarzwälder-Kirsch-Torte","🍰","g","31,1","","","","",0,"Stück/Portion: 4,5 KE",
3113,"Kuchen","Streuselkuchen","🍽️","g","17,5","","","","",0,"Stück/Portion: 4 KE",
3124,"Kuchen","Tiramisu","🍽️","g","31,3","","","","",0,"Stück/Portion: 4 KE",
3135,"Kuchen","Waffeln","🍽️","g","22,2","","","","",0,"Stück/Portion: 4,5 KE",
3146,"Kuchen","Zitronenkuchen","🍽️","g","23,3","","","","",0,"Stück/Portion: 3 KE",
3157,"Knabberartikel","Cracker (z. B. von TUC)","🍽️","g","15,0","",4,14,"0,93","9,33","1 KE = 15 g; Portion: 4 Stück à 3,5 g",
3168,"Knabberartikel","Erdnussflips","🍽️","g","20,0","","","","",0,"1 KE = 20 g; Portion: ca. 1 gehäufte Hand",
3179,"Knabberartikel","Esspapier","🍽️","g","12,0","","","","",0,"1 KE = 12 g",
3190,"Knabberartikel","Gebrannte Mandeln","🥜","g","20,0","Tüte","","","",0,"1 KE = 20 g; Portion: 1 Tüte (100 g) = 5 KE",
3201,"Knabberartikel","Kartoffelchips","🍽️","g","20,0","","","","",0,"1 KE = 20 g; Portion: ca. 1 gehäufte Hand",
3212,"Knabberartikel","Krupuk Krabbenchips","🍽️","g","15,0","","","","",0,"1 KE = 15 g",
3223,"Knabberartikel","Popcorn salzig","🍿","g","18,0","","","","",0,"1 KE = 18 g",
3234,"Knabberartikel","Popcorn süß","🍿","g","15,0","","","","",0,"1 KE = 15 g",
3245,"Knabberartikel","Kinopopkorn","🍽️","g","18,0","",1,72,4,40,"Kinder-Portion (72 g); gesalzen 4 KE",
3256,"Knabberartikel","Salzbrezeln","🍽️","g","14,0","",6,"","",0,"1 KE = 14 g; Portion: ca. 6 Stück = 1 KE",
3267,"Knabberartikel","Salzstangen","🍽️","g","14,0","",10,"","",0,"1 KE = 14 g; Portion: ca. 10 Stück = 1 KE",
3278,"Knabberartikel","Tortilla Chips","🥔","g","15,0","","","","",0,"1 KE = 15 g",
3289,"Eis","Calippo verschiedene Sorten","🍽️","g","45,7","",1,105,"2,3",23,"1 Portion: 105 g =  2,3 KE",
3300,"Eis","Capri","🍽️","g","48,3","",1,58,"1,2",12,"1 Portion: 58 g = 1,2 KE",
3311,"Eis","Cornetto Erdbeere","🍽️","g","25,0","",1,75,3,30,"1 Portion: 75 g = 3 KE",
3322,"Eis","Cornetto Nuss","🥜","g","30,0","",1,75,"2,5",25,"1 Portion: 75 g = 2,5 KE",
3333,"Eis","Domino Eis","🍦","g","41,7","",1,50,"1,2",12,"1 Portion: 50 g = 1,2 KE",
3344,"Eis","Eiskonfekt","🍽️","g","21,7","",1,"6,5","0,3",3,"1 Portion:  6.5 g = 0,3 KE",
3355,"Eis","Eiswaffel","🍽️","g","17,5","",1,14,"0,8",8,"1 Portion: 14 g = 0,8 KE",
3366,"Eis","Flutschfinger","🍽️","g","49,2","",1,64,"1,3",13,"1 Portion: 64 g = 1,3 KE",
3377,"Eis","Fruchteis  1 Kugel  à","🍽️","g","30,0","",1,60,2,20,"1 Portion: 60 g = 2 KE",
3388,"Eis","Kaktus-Eis","🍦","g","43,6","",1,48,"1,1",11,"1 Portion: 48 g = 1,1 KE",
3399,"Eis","Milcheis  1 Kugel  à","🍽️","g","40,0","",1,60,"1,5",15,"1 Portion: 60 g = 1,5 KE",
3410,"Eis","Mini-Milk Vanille","🍽️","g","46,0","",1,23,"0,5",5,"1 Portion: 23 g = 0,5 KE",
3421,"Eis","Nogger, Nogger Choc","🍽️","g","33,5","",1,67,2,20,"1 Portion: 67 g = 2 KE",
3432,"Eis","Magnum Classic","🍽️","g","34,4","",1,86,"2,5",25,"1 Portion: 86 g = 2,5 KE",
3443,"Eis","Riesenhappen (Langnese) ","🍽️","g","31,8","",1,54,"1,7",17,"1 Portion: 54 g = 1,7 KE",
3454,"Fertigprodukte","Calamari  10 Stück (ca. 100 g)","🍽️","g","66,7","Stück",10,1000,15,150,"1 Portion: 100 g = 1,5 KE ",
3465,"Fertigprodukte","Chili  con Carne ca. 300 g","🍽️","g","85,7","","","","",0,"1 Portion: 300 g = 3,5 KE ",
3476,"Fertigprodukte","Currywurst mit Brötchen + Ketchup ca. 250 g","🍽️","g","62,5","","","","",0,"1 Portion:  250 g = 4 KE ",
3487,"Fertigprodukte","Döner","🍽️","g","46,2","","","","",0,"1 Portion:  300 g = 6-7 KE ",
3498,"Fertigprodukte","Falaffel 1 Stück à","🍽️","g","25,0","",1,20,"0,8",8,"1 Portion:  20 g = 0,8 KE ",
3509,"Fertigprodukte","Fischstäbchen 1 Stück à","🍽️","g","60,0","",1,30,"0,5",5,"1 Portion:  30 g = ca. 0,5 KE ",
3520,"Fertigprodukte","Frühlingsrollen mini 1 Stück à","🍽️","g","40,0","",1,20,"0,5",5,"1 Portion:  20 g = 0,5 KE ",
3531,"Fertigprodukte","Gemüsesuppe mit Mehl gebunden 1 Teller ca. 200 ml","🍽️","ml","200,0","Teller",1,200,1,10,"1 Portion:  200 ml = 1 KE",
3542,"Fertigprodukte","Gyros in Pitta ca.","🍽️","g","80,0","","","","",0,"1 Portion:  400 g = 5 KE ",
3553,"Fertigprodukte","Hotdog + Senf ca.","🍽️","g","36,7","","","","",0,"1 Portion:  110 g = 3 KE ",
3564,"Fertigprodukte","Käsespätzle ca.","🍽️","g","60,0","","","","",0,"1 Portion:  300 g = 5 KE ",
3575,"Fertigprodukte","Lasagne ca.","🍽️","g","58,3","","","","",0,"1 Portion:  350 g = ca. 6 KE ",
3586,"Fertigprodukte","Maultaschen (schwäbisch) 1 Stück à","🍽️","g","33,3","",1,50,"1,5",15,"1 Portion:  50 g = 1,5 KE ",
3597,"Fertigprodukte","Moussaka ca.","🍽️","g","100,0","","","","",0,"1 Portion:  400 g = 4 KE ",
